IDENTIFIKATOR_KLIJENTA,period,dob,tenure_years,n_core_products,has_kredit,has_deposit,prima_placu,avg_txn_per_month,txn_amount_std,months_active,txn_trend,avg_balance,balance_trend,balance_min,has_contact,n_contacts,churned
WU7BWV9JIX7I,P1,68,20.188911704312115,4,0,1,0,1.0,0.0037796447300922,7.0,0.0,2655.9829629629626,0.0600000000000136,1.21,0,0.0,0
EZPTDAR1N1FG,P1,60,25.998631074606436,2,0,0,1,3.4444444444444446,165.39096073842276,9.0,-0.3666666666666666,277.6995752895753,-6.621166666666665,0.0,0,0.0,0
RLXW6GHLFKV1,P1,52,0.9911019849418208,0,0,0,0,8.6,77.09602726858245,5.0,1.4,0.0,0.0,0.0,0,0.0,0
48NKKHRO1TOD,P1,93,25.31690622861054,2,0,0,1,5.5,528.7322452341233,8.0,0.119047619047619,1491.8148148148148,-128.69150000000002,0.0,0,0.0,0
D1MY7QVK1JSY,P1,76,23.260780287474333,2,0,0,1,33.55555555555556,89.24632314065126,9.0,-0.95,736.5317786561266,30.734,0.0,0,0.0,0
M2NFID0BSNT6,P1,55,21.15811088295688,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
WXNRJAWZCEHV,P1,66,18.924024640657084,0,0,0,0,3.555555555555556,112.06472145981954,9.0,0.3833333333333333,0.0,0.0,0.0,0,0.0,0
5SWFZ9SQ1KMW,P1,64,20.06570841889117,6,1,0,1,26.666666666666668,117.96481499665448,9.0,0.2166666666666666,223.93936170212768,372.112,-1456.23,0,0.0,0
NX8WT96PR4C1,P1,35,5.765913757700205,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
L8NH5MS46WMY,P1,60,24.34223134839151,2,0,0,1,2.5,117.47992296110588,8.0,0.2305764411027568,864.6877419354838,74.51241666666667,21.73,0,0.0,0
YKLKFITYYP34,P1,77,2.143737166324436,1,0,0,1,2.7777777777777777,230.95337931640373,9.0,-0.2833333333333333,2272.9795384615386,-0.1198333333333115,2031.69,0,0.0,0
QWZDA9EL1HIY,P1,71,10.236824093086929,2,0,0,1,4.222222222222222,286.2166570183596,9.0,-0.1,-33.901034482758625,-43.904500000000006,-500.88,0,0.0,0
RHFRSE31YKW9,P1,81,23.129363449691997,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MQMINQVFSABC,P1,46,1.749486652977413,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
MSFQHBY5WLKB,P1,69,17.49486652977413,2,0,0,1,3.2222222222222223,276.4331912129714,9.0,-0.05,2254.8740425531914,24.59675000000001,1424.63,0,0.0,0
IWEHOFXLW3D3,P1,76,8.153319644079398,0,0,0,0,0.0,0.0,0.0,0.0,1.33,0.0,1.33,0,0.0,0
VDFM5YX83O7T,P1,87,27.68788501026694,2,0,0,1,3.0,389.9022016365458,9.0,-0.2333333333333333,5237.08847826087,-189.45858333333337,3699.87,0,0.0,0
KGNKJY65HGDV,P1,86,25.089664613278572,2,0,0,0,2.6666666666666665,559.4945646288937,9.0,0.0666666666666666,24066.373111111112,74.03733333333354,23159.01,0,0.0,0
WONWU8YSH1EF,P1,48,28.424366872005475,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
6SHYL7MU8S42,P1,20,4.369609856262834,2,0,0,0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0,0.0,0
189ONACY7QRH,P1,48,11.85763175906913,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
X8ZFN963OP49,P1,65,1.0677618069815196,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Q0I4FVNJ2J2H,P1,86,25.464750171115675,2,0,0,1,2.333333333333333,134.725170201096,9.0,0.0666666666666666,2617.4921621621625,-25.695499999999974,2006.07,0,0.0,0
KMU9VK64XL23,P1,57,18.924024640657084,0,0,0,0,7.0,281.8432405231168,2.0,-2.5,0.0,0.0,0.0,0,0.0,0
S2V6RLBP21E9,P1,74,21.793292265571527,4,0,0,0,1.8888888888888888,113.89723501524368,9.0,-0.0333333333333333,6783.890256410256,269.2936666666667,1666.12,0,0.0,0
C6EKTMIXDZ9Q,P1,64,18.924024640657084,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
