IDENTIFIKATOR_KLIJENTA,period,dob,tenure_years,n_products,has_kredit,prima_placu,avg_txn_per_month,avg_txn_amount,txn_trend,avg_balance,balance_trend,has_contact,n_contacts,churned
E6N3T3JK6ER2,P1,66,4.39151266255989,1,0,0,2.0,129.47666666666666,-0.454054054054054,,,0,,0
Z7F25ZFUB9L5,P1,67,9.097878165639973,3,1,1,7.111111111111111,125.66015625,0.6666666666666666,286.97887499999996,-42.18616666666667,0,,0
PSHP8UET5GF7,P1,50,1.1197809719370295,1,0,0,1.0,2035.21,0.0,1149.5657142857144,119.015,0,,0
B9IZMYZGBSPR,P1,77,15.498973305954825,3,0,0,7.333333333333333,71.76757575757576,-0.24999999999999994,840.8265454545455,97.44441666666665,0,,0
XGAZLY5GUMOJ,P1,53,13.949349760438055,1,0,0,,,,,,1,1.0,0
QK8RU30C6ZZQ,P1,62,12.353182751540041,8,1,0,6.444444444444445,84.44310344827586,-0.7833333333333333,-783.6866292134831,293.1346666666667,1,1.0,0
UTK04278AFRD,P1,52,12.035592060232718,1,0,0,5.0,26.109249999999996,-0.03397027600849257,,,0,,0
D3R2QG834QX0,P1,77,17.204654346338124,5,0,0,3.3333333333333335,158.95,-0.3333333333333333,228.63083333333333,34.79533333333334,0,,0
KV9305PWCIS9,P1,40,8.123203285420944,1,0,0,,,,,,0,,0
ZF4T7T0V3N7U,P1,37,9.136208076659821,13,0,1,22.0,828.4773737373738,0.5666666666666667,7942.023487544484,18.598249999999993,0,,0
KYRLDLWE9EB9,P1,88,26.595482546201232,3,0,0,5.555555555555555,257.06759999999997,0.36666666666666664,13788.935970149254,420.91983333333326,0,,0
BELZPH28ZESS,P1,66,18.45037645448323,3,0,1,5.444444444444445,269.79938775510203,-0.13333333333333333,19097.35693877551,1212.103,0,,0
DOIOZ3MY9WGP,P1,78,17.472963723477072,3,1,0,4.222222222222222,38.85131578947368,-0.3333333333333333,62.42000000000001,15.307583333333335,0,,0
7HVZH0XHIZK2,P1,31,5.749486652977413,1,0,0,,,,,,0,,0
EDFIHNZZMPVV,P1,61,1.8973305954825461,1,0,0,,,,,,0,,0
4MT51OSP9UP6,P1,75,19.43600273785079,3,0,0,1.7777777777777777,10.80875,0.016666666666666666,18.765348837209302,0.42166666666666686,0,,0
FT5LMN6HNNBO,P1,30,11.789185489390828,1,0,0,2.6666666666666665,16.883333333333333,0.10000000000000003,,,0,,0
F0F06898ZS40,P1,64,18.924024640657084,1,0,0,5.0,137.01088888888887,0.03333333333333333,,,0,,0
MRRW4X9L1IAM,P1,66,10.132785763175907,1,0,0,4.833333333333333,48.679310344827584,-0.2571428571428572,,,0,,0
DMXNO5ITT4LF,P1,53,0.8624229979466119,1,0,0,,,,,,0,,0
BV3XZRZZXYT8,P1,48,19.800136892539356,1,1,0,1.0,75.63833333333334,0.0,-8477.485882352941,66.34341666666668,0,,0
G32YOMFS4JCX,P1,72,18.924024640657084,1,0,0,,,,,,0,,0
QCL7AKA8R6FJ,P1,29,9.752224503764545,3,0,0,1.25,1.024,0.3,-1.3378947368421052,-0.029999999999999995,0,,0
0NNCBUCF1YWP,P1,76,18.924024640657084,1,0,0,,,,,,0,,0
EMPBCG65ZROD,P1,58,6.102669404517454,1,0,0,19.666666666666668,38.873333333333335,-1.0833333333333335,,,0,,0
M03U50QYTSQC,P1,51,14.557152635181383,1,0,0,1.2857142857142858,46.11,0.015243902439024392,,,0,,0
6UBV6VCP2CA5,P1,79,25.371663244353183,3,0,1,3.0,297.2055555555556,-0.18333333333333332,951.1645454545454,5.583999999999998,0,,0
T238UNPYDVPX,P1,78,18.759753593429156,6,0,0,17.555555555555557,98.40639240506329,-1.15,6527.455765306123,-787.2096666666669,0,,0
QHCHOID4D3II,P1,49,7.214236824093087,1,0,0,,,,,,0,,0
TV2FY516ZDHI,P1,53,25.930184804928132,1,0,0,,,,,,0,,0
WY2Y4S12CUVH,P1,90,25.508555783709788,3,0,1,5.222222222222222,802.9865957446809,-0.2,21204.685999999998,-666.8983333333333,0,,0
45X2Z0B1FV8G,P1,47,18.924024640657084,1,0,0,2.6666666666666665,34.6875,-0.5714285714285716,,,0,,0
J9JZPROHBV6J,P1,76,28.933607118412045,3,0,1,3.7777777777777777,1928.0073529411766,0.21666666666666667,5845.979848484848,-15.155000000000056,0,,0
01P6LLVXTP3E,P1,89,13.949349760438055,1,0,0,,,,,,0,,0
0AQWY7HNVO70,P1,25,9.56331279945243,6,0,0,2.7777777777777777,5.886,0.03333333333333333,5888.7553333333335,-24.039583333333244,1,1.0,0
ZEM0QEJGA1N7,P1,69,18.924024640657084,1,0,0,1.2,143.62166666666667,-0.1891891891891892,,,0,,0
SBI186F3J337,P1,64,1.9739904175222451,1,0,0,2.375,252.6315789473684,-0.14864864864864866,,,0,,0
RCGFD6YW0ZMU,P1,64,19.310061601642712,3,0,1,,,,,,0,,0
65B0TIUJCKTR,P1,25,9.541409993155373,4,0,1,26.77777777777778,87.62609958506224,0.4166666666666667,263.2584967320262,7.593333333333333,1,1.0,0
32V5R67DVBQL,P1,70,13.284052019164955,3,0,0,3.0,1347.0633333333333,0.0,1145.9257142857143,-457.71142857142854,0,,0
WYQPYNQTSKE5,P1,73,13.396303901437372,3,0,1,3.6666666666666665,7424.561515151515,-0.016666666666666666,14256.586363636363,-498.23466666666656,0,,0
SNMQJ5D2DXTV,P1,58,18.924024640657084,1,0,0,,,,,,0,,0
WMF1QOH60DXA,P1,51,10.039698836413416,1,0,0,17.333333333333332,47.29294871794872,0.9500000000000001,,,0,,0
AU9MTIHH476N,P1,85,25.426420260095824,2,0,1,1.6666666666666667,472.21133333333336,0.08333333333333333,271.5359259259259,0.8856666666666636,0,,0
LYG65BGUP0AX,P1,57,23.318275154004105,5,0,1,7.111111111111111,383.75390625,-0.38333333333333336,508.3856578947368,-24.42208333333334,0,,0
QAT3KZBAKSA4,P1,60,18.924024640657084,1,0,0,,,,,,0,,0
FEIJSH98EFWL,P1,67,9.618069815195073,3,0,1,13.222222222222221,50.654621848739495,-0.2833333333333333,195.42940789473684,-11.989833333333333,0,,0
3PWEIX9DI12U,P1,94,29.1088295687885,1,0,0,,,,,,0,,0
A74UZOAYINAX,P1,74,25.52498288843258,3,0,0,1.0,0.02,0.0,1094.71,0.010000000000006063,0,,0
TOG2A6SSNP5X,P1,82,25.349760438056126,4,0,1,2.888888888888889,255.52346153846153,0.05,1972.4041379310345,-6.071999999999984,0,,0
P9RZIBVTTVNX,P1,74,25.371663244353183,5,0,1,24.555555555555557,1104.6129864253394,1.1666666666666667,20894.057886178864,-948.1907500000001,0,,0
OUR6Q2AJI8LB,P1,87,25.492128678986994,3,0,1,2.125,199.14764705882354,0.20270270270270271,151.46027777777778,20.63816666666667,0,,0
HW5YQ0VQKCF3,P1,66,12.514715947980836,2,0,1,4.111111111111111,282.9010810810811,-0.2,7143.70724137931,72.7725,0,,0
6G00KTH1NJG2,P1,56,16.971937029431896,1,0,0,,,,2.39,0.0,0,,0
37DQG8E6NI8G,P1,62,9.555099247091034,7,1,1,6.888888888888889,127.00919354838709,-0.5166666666666667,57.72654205607476,-7.825583333333333,0,,0
N8F3CW95O7O4,P1,60,1.0130047912388775,1,0,0,2.0,97.76899999999999,0.0,,,0,,0
YZD7215N4UG2,P1,79,22.012320328542096,3,0,0,4.111111111111111,121.97891891891892,-0.06666666666666667,579.0211764705882,-74.46391666666668,0,,0
