IDENTIFIKATOR_KLIJENTA,churn_risk_score,predicted_churn
OWT5XRU6GYPC,1.0,1
YYP08OCJPXGK,1.0,1
ZG3DYNEPWW2H,1.0,1
0UXQ0EX5S6DQ,1.0,1
WHXWW3MHE3UU,1.0,1
G93L13VS7B01,1.0,1
MDCM0M922RHR,1.0,1
OYAFI7V01MT0,1.0,1
JYD48Y7RR0J0,1.0,1
IFU6FYBAHU6Y,1.0,1
IEZP8JDQPLDK,1.0,1
GBI8VPNU70G9,0.9999999999996234,1
O5Z53NAT34CO,0.9999999999757279,1
GCFKGLIGCKVM,0.9999999999680682,1
XXLW37C2RKUA,0.9999999998616147,1
9ZERGGDQ1BVU,0.9999999997925144,1
N48PPEA2CI45,0.9999999997450217,1
SH67N87JCNX0,0.9999999995771525,1
RI5ZIM4O5RS1,0.9999999897721494,1
XA0QKF9CME0O,0.9999999208951951,1
G665XIT4FU6N,0.9999997352161389,1
51TW9B6BQ4BT,0.9999971405332486,1
N2C4KT8TFN5D,0.9999848236803363,1
H526QY6JXQ8Y,0.9999736045470525,1
QR5OYRDQ8POU,0.9999263815835538,1
597C81FP6IQZ,0.9998598327182758,1
V84P3AKGBIFH,0.9998445687996464,1
BY5REVBCK5LK,0.9998306182246821,1
F83RJWH4OZ5C,0.9997436169565588,1
9N16R3QZ3PUJ,0.9997012514125573,1
T6EKUPTQAY8I,0.9986792084856047,1
MSUOTXRWP8F3,0.99858383352511,1
EWGF9XJTU6BL,0.9982808142368574,1
J8WLQMI6XK6M,0.9980841341864288,1
98HL55E8ZDDN,0.9979427624126508,1
00Z3MS5XXZDA,0.9963388975721511,1
OXTV1QASGRAG,0.9957078054837024,1
6X2XMN0E7UA0,0.9949984580060549,1
Y3W5LT6KVIDM,0.9948502537138957,1
7VCZELTA3MNR,0.9946808794176843,1
RYD6T779Y0LZ,0.9946184513148189,1
OBIPZ6EIKFON,0.9943956253658431,1
K8FRYK7C675L,0.9941516630756491,1
1ANMTH8GVA4E,0.994014488314345,1
VD7121SP4O9X,0.9935691867571786,1
MDQ8KGEXIFOG,0.9935617938719042,1
G4TNZNFFV5LO,0.9927805200509504,1
OG2RNYS7IKFO,0.9923784064649391,1
LGMNJK1OP9BY,0.992251621259978,1
Q6GBMGJ4RV7N,0.9916871678721427,1
MC7J7NBT78TR,0.9916770242236838,1
TSCWWZV4Q463,0.9913406284548705,1
BPRBHL28TRKT,0.9905867186264831,1
AM06H4WHFSY8,0.9905668582452691,1
00J3RILV5U6Z,0.9905195625452307,1
G29ZBA7A5UZ3,0.9901387909911427,1
OEWB5QNDS2PG,0.9898129602061478,1
B2AH5QSNVT2N,0.9897488263703815,1
QGXGO7LXQGVU,0.9896006256565605,1
JR6LO3002ZLY,0.9893262961119715,1
KGC926CPJ6AM,0.9891588924208206,1
L1APRJADGN4U,0.9891531537524241,1
XV1YWL9TILJI,0.9889303283536849,1
OMIDE7EYPGX3,0.9889300540804463,1
RZAL5FOQQVDZ,0.9889271083759288,1
ZBOGAI1ZDGC8,0.9889132835597716,1
XCW2BABDTEBK,0.9889039327173674,1
ZWUT13LPNGPR,0.988895958204142,1
MYJN8RIFT020,0.9888850653696386,1
5WUJMO3UF6HB,0.988883183000589,1
6U3HHK21G1C0,0.9888544884339381,1
T2MCU6OCA0MI,0.988817000060809,1
GO0JOUA8M9GQ,0.9886472309313991,1
RKHSHKJEZMDX,0.9886017839425887,1
1DTM0ZQNJFME,0.9885771741336118,1
32GOEZC90IM5,0.9885695955675764,1
G6GBJY9XZO4K,0.9884268273704757,1
PN0FB3VNRIIM,0.9883818846411168,1
JSDM6W80GSBR,0.9883705012817069,1
EEVSL3RXHJQY,0.9882231561377174,1
GPE2Q4MTH675,0.9881305913175858,1
MGMFATMNPRF0,0.9881273344867146,1
583B6JSUIO79,0.9881192011304647,1
SHFVAILXYKBG,0.9881086365848786,1
LXS5L1I1M6Z6,0.9880882680999957,1
UY4BGMKLZIH8,0.988082967837573,1
MF1JEBKY2IK8,0.9880726846555868,1
5UQ2HDFUTUHI,0.9880142842714319,1
KODE6TCYQXDD,0.9876261778832421,1
JLJGA09JQSW1,0.9876054985240799,1
CMQTK1XTU1FO,0.9876048499403283,1
7SCGJLGBZBD4,0.9875972833846052,1
ULJ3DTBDCJF6,0.987595805684742,1
116QDMPKUEE0,0.9875705873378627,1
8BOUOHB2VRNX,0.9875596371522403,1
1VOW49SP9Z6B,0.9875449070667341,1
9ZJAYC1X7U3V,0.9875261012566106,1
6PPSJHPWB9X6,0.9872853782024247,1
79PQOAKHECUV,0.9872671106180952,1
VC3CJQ6UC1VL,0.9872587338270495,1
JJPLPCCYXROA,0.9872225319651173,1
WKDSWLDGK500,0.9869336557408279,1
BXSQZPFM0KBX,0.9868954727278342,1
