IDENTIFIKATOR_KLIJENTA,DOB,TENURE_YEARS_REF,n_products,has_kredit,PRIMA_PLACU,avg_txn_per_month,avg_txn_amount,avg_balance,balance_trend,has_contact,CHURNED
007GHT7LN6SF,91,14.33264887063655,2,0,0,2.2666666666666666,138.8991176470588,7034.80294117647,502.3227720588235,0,0
00J3RILV5U6Z,74,1.78507871321013,1,0,0,1.625,11920.947692307693,17754.92135135135,-266.0123897058823,0,0
00KLLUYR5RVU,50,9.678302532511978,4,0,1,23.0625,131.98796747967478,494.478431372549,4.405286764705888,1,0
00Z3MS5XXZDA,46,1.9767282683093772,3,0,0,3.0,33013.90666666667,24666.806666666667,-1433.8245,0,0
01CU0ZH4KR5E,14,10.001368925393566,1,0,0,0.0,0.0,7.475882352941177,0.0009044117647059454,0,0
01P6LLVXTP3E,89,14.45037645448323,1,0,0,0.0,0.0,0.0,0.0,0,0
01S83OONZJFH,47,7.94798083504449,2,0,0,1.1666666666666667,250.71428571428572,0.9415384615384615,-0.019615384615384618,1,0
01V3DPWHXCXY,31,9.971252566735114,1,0,0,0.0,0.0,0.41,0.0,0,0
01YU6XGS0DAK,52,19.42505133470226,1,0,0,14.625,11.77482905982906,0.0,0.0,0,0
024Q57KYY9XT,79,19.123887748117728,2,0,0,4.125,44.41227272727273,70.64428571428572,-7.667382352941176,0,0
0266BSOZRSLN,76,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
02C7JEP2EBFE,55,19.42505133470226,2,0,0,1.5555555555555556,33.042857142857144,0.0,0.0,0,1
03B6QW5UDMDV,49,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
03B7PVHL2Z77,67,19.42505133470226,1,0,0,1.6666666666666667,242.0,0.0,0.0,1,0
03DVQT7A1WG6,56,9.388090349075975,1,0,0,2.3,247.9826086956522,0.0,0.0,0,0
03JQ3QOP4NA7,83,25.782340862423,1,0,1,2.0,229.97766666666666,174.05588235294118,3.764749999999999,0,0
03OYTVY7G9I3,77,16.646132785763175,1,0,0,1.2,60.876666666666665,0.0,0.0,0,1
03YXX0Q7ESFU,34,4.985626283367557,1,0,0,0.0,0.0,0.0,0.0,0,0
048QFAEWZKS8,57,19.42505133470226,1,0,0,9.375,33.23533333333334,0.0,0.0,0,0
04992RFP9AVN,17,0.47638603696098564,3,0,0,1.0,3.7733333333333334,8.5,-0.6128571428571429,1,1
04FTCRKHT3AU,74,1.9356605065023955,2,0,0,1.8,8828.851111111111,8758.890256410257,-793.2607426470587,0,1
04J597ZDJDJV,38,4.8815879534565365,1,0,0,8.75,41.31278571428572,0.0,0.0,1,0
04LX9TD6UD74,68,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,1
04UB6KF9749O,49,27.94524298425736,5,0,0,86.0,1515.626308139535,34818.97896907217,-3312.59756617647,1,0
04VY9KJXTA4K,82,9.678302532511978,6,0,1,5.5,283.6817045454546,260.5614084507042,-16.757242647058824,1,0
057QXDYNSN45,59,18.7378507871321,2,0,0,1.9230769230769231,56.198,412.49765957446806,-31.729882352941175,0,0
05B427N60XRP,71,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,1
05GC7TQVD5A0,90,32.12867898699521,2,0,0,6.75,1788.2207407407407,14278.9782010582,1830.4145735294117,1,0
05NC6QVQAKV3,66,10.885694729637235,2,0,0,0.0,0.0,0.0,0.0,0,0
05TNNXYF5OU2,62,9.431895961670088,1,0,0,2.923076923076923,160.0,0.0,0.0,0,0
05XRKT8ICGQK,17,14.94592744695414,1,0,0,1.0,0.05,49.72941176470588,0.004522058823529154,0,0
05Z32JK4ERUX,69,27.274469541409992,2,0,1,2.5,12.736,21.164647887323945,0.5723529411764706,0,0
061RY484GO8L,39,6.6036960985626285,4,0,0,35.3125,76.5458407079646,0.0,0.0,0,0
063LKMOACUQO,56,18.16563997262149,3,1,0,3.1333333333333333,64.07191489361702,-1773.694857142857,-0.15695588235294117,0,0
0646GWIAIS53,63,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
066QN5MXMYOJ,79,10.047912388774812,1,0,0,4.5,218.75666666666666,0.0,0.0,0,0
0716I97QA2J6,61,18.036960985626283,2,0,0,1.2857142857142858,523.8888888888889,0.0,0.0,0,0
071CN8RWH9WB,56,27.274469541409992,3,1,1,5.25,34.35642857142857,-40.61942857142857,12.02820588235294,0,0
07L355HCTFAB,25,6.30527036276523,1,0,0,7.6,15.105526315789474,0.0,0.0,0,0
07PN4HJZHLDN,41,13.96577686516085,1,0,0,0.0,0.0,0.0,0.0,0,0
07UZQGWLCP1H,29,9.987679671457906,1,0,0,1.2,0.37166666666666665,-14.560833333333333,-0.6913095238095237,0,0
07VFQJKBOOIU,52,9.650924024640657,1,0,0,0.0,0.0,0.0,0.0,0,0
07ZLFMEFD7H0,69,16.711841204654345,8,0,1,12.666666666666666,421.2858947368421,8041.291515151515,1099.6113455882353,1,0
07ZYLJQ5HXH3,65,4.906228610540725,1,0,0,2.3333333333333335,356.5314285714286,0.0,0.0,1,0
08NGGWOPV8HV,61,18.699520876112253,5,0,0,10.25,264.2034756097561,479.85413612565446,20.92330882352941,1,0
08TJNJJR0IJA,72,9.653661875427789,2,1,1,4.866666666666666,158.48438356164385,-319.52811188811194,-11.377338235294122,0,0
0963ICFLTBPS,82,1.9575633127994525,3,0,0,2.0,16368.8675,8857.142857142857,-116.91176470588235,0,1
09B6Z89NLVIC,74,27.247091033538673,3,0,1,2.6875,235.8686046511628,827.6186046511627,15.531360294117649,0,0
09LPL65BAICS,39,4.547570157426421,1,0,0,1.2,29.80666666666667,0.0,0.0,0,0
09MD2NM2XH17,37,9.653661875427789,1,0,0,0.0,0.0,3.79,0.0,0,0
09RGSU4BQOEZ,73,19.696098562628336,2,0,1,2.857142857142857,216.35250000000002,5784.977916666667,136.58750735294117,0,0
0A01AY86RLWP,62,24.862422997946613,2,0,1,2.9375,103.65404255319149,213.30906666666667,-5.349749999999998,0,0
0A6QXUB3RTX6,86,29.516769336071185,4,0,1,10.0625,374.47322981366455,11822.468738738738,217.5589044117647,0,0
0ABMY7G1PXFH,82,25.8507871321013,2,0,1,4.875,374.3620512820513,348.71491379310345,5.026955882352943,1,0
0AEVMT1A5G01,63,18.93223819301848,2,0,0,9.25,182.30094594594595,251.50461038961038,-7.948044117647059,1,0
0AK2M9MJ87CS,81,9.568788501026694,1,0,0,0.0,0.0,0.0,0.0,0,0
0AQWY7HNVO70,25,10.064339493497604,6,0,0,2.5625,94.5648780487805,6521.194326923077,242.95420588235288,1,0
0AT72RE786BP,51,10.124572210814511,8,1,1,62.3125,61.032718154463396,-384.6469356872636,-0.12012499999999993,1,0
0AWJS4C8PVNH,77,25.587953456536617,3,0,1,4.5,205.20069444444445,5958.271965811965,-299.7760367647058,0,0
0BAD4LSDUEON,85,26.031485284052017,3,0,1,2.4,163.95777777777778,397.474262295082,-38.158102941176466,0,0
0BOW7QJWSML9,26,10.075290896646132,1,0,0,0.0,0.0,2.05,0.0,0,0
0BVQQKXA5EYS,49,4.974674880219028,1,0,0,0.0,0.0,0.0,0.0,0,0
0C6B7EN7R2JL,69,18.652977412731005,3,0,0,16.8125,190.63219330855017,7080.512730158729,-434.91580882352935,0,0
0CLKASP6CZVJ,53,2.4476386036960984,1,0,0,8.1875,15.099541984732824,0.0,0.0,0,0
0CN30T4T1NSE,78,27.288158795345655,1,0,0,1.0,0.35,3477.6058823529415,0.03165441176469866,0,0
0D7H60XXVWPA,64,8.75564681724846,1,0,0,1.5,174.58333333333334,0.0,0.0,0,0
0D7KRD079OMW,56,19.42505133470226,3,0,0,1.0,217.8,0.0,0.0,0,0
0DU3FG8QJ7LO,65,29.43463381245722,12,1,1,36.375,112.81644329896906,483.066,-514.5321911764706,0,0
0E1FIB77PEY2,85,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0E7XQQS28D89,65,19.42505133470226,3,0,0,0.0,0.0,0.0,0.0,0,0
0E8O3YA2REEA,82,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0E94EWGAR2LH,56,19.42505133470226,1,0,0,3.4375,212.28,0.0,0.0,0,0
0ESFNWS3PUDD,49,1.5770020533880904,2,0,0,0.0,0.0,0.0,0.0,0,0
0EWUG90KC4V7,66,15.315537303216974,1,0,0,0.0,0.0,0.0,0.0,0,0
0FH4L5V4LLZ2,31,12.528405201916495,3,0,0,0.0,0.0,-7.32,0.0,0,0
0FQU5E9U85L3,60,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0FS2UQVCCG1Y,63,2.2532511978097194,1,0,0,0.0,0.0,0.0,0.0,1,0
0FSVD8IBVLVM,52,2.028747433264887,1,0,0,0.0,0.0,0.0,0.0,0,0
0FVF2HO5TWCS,72,10.042436687200547,10,0,1,7.1875,52.79208695652174,-38.970774647887325,53.142529411764706,0,0
0FVLGR4G81KY,58,4.117727583846681,1,0,0,0.0,0.0,0.0,0.0,1,0
0FVQQMQ226SM,32,2.455852156057495,1,0,0,6.2,90.53725806451612,0.0,0.0,0,0
0GL2WNZGJ70W,86,25.782340862423,7,0,1,2.875,166.5991304347826,2984.5283333333336,-19.550360294117684,0,0
0GL72P2VOCLU,64,29.31690622861054,9,1,0,20.125,187.78962732919254,671.3647682119205,118.99753676470588,1,0
0GSIQ65GE2MS,75,13.374401095140314,2,0,0,1.0,0.05,1113.3661904761905,0.015970588235301994,0,0
0GYK9FJN5GJV,59,28.971937029431896,8,1,1,40.0625,180.19466458658346,36376.92638613861,2334.5313161764707,1,0
0H03C3LT677J,55,15.351129363449692,1,0,0,0.0,0.0,0.0,0.0,0,0
0H0WO3P70KOF,46,15.315537303216974,1,0,0,0.0,0.0,0.0,0.0,0,0
0H1SMAMU75I9,51,19.42505133470226,1,0,0,3.2666666666666666,102.49734693877551,0.0,0.0,0,0
0HDQRASLWUDC,82,25.607118412046542,2,0,1,5.9375,120.13526315789474,2988.6567521367524,37.02238970588235,1,0
0HJYVT8WXT9U,57,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0HKX8BAGMYEM,68,18.51334702258727,7,0,1,43.3125,46.11795093795094,208.2908909090909,14.08413235294118,1,0
0HM8UPG4JTDO,60,17.88637919233402,6,1,1,17.375,55.697985611510795,-213.12784,3.755477941176472,0,0
0HSEHA15OGQ6,52,1.4948665297741273,1,0,0,0.0,0.0,0.0,0.0,0,0
0HYC8Y7UYNIK,65,24.870636550308006,2,0,1,7.0625,244.18407079646016,910.9944594594594,-69.18016911764707,0,0
0HYX2B03G823,52,9.872689938398358,15,1,1,47.4375,126.52304347826087,-2915.050834951456,153.61020588235294,0,0
0ICSHY728TIW,61,19.42505133470226,2,0,0,1.5714285714285714,254.54545454545453,0.0,0.0,0,0
0ILF5SPXBFXP,63,9.883641341546886,3,0,1,9.0625,167.05593103448277,468.47804195804196,5.3436249999999985,1,0
0IOC8A69JIP1,60,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,1
0IWQYQQ412YJ,66,4.772073921971253,2,0,0,0.0,0.0,0.22352941176470567,-0.561470588235294,0,0
0JJTR5LE6Q5P,37,19.42505133470226,2,0,0,0.0,0.0,0.0,0.0,0,0
0JW8XROY14OJ,78,9.429158110882957,1,0,0,4.0,41.0259375,0.0,0.0,0,0
0KEJAZ6EH68L,56,26.472279260780287,14,1,1,21.875,89.53205714285714,-1876.8495249406176,-46.14163235294119,1,0
0KHGOIC9RZ9J,61,28.550308008213552,1,0,0,1.0,7.0,0.0,0.0,0,0
0KIG6XAJKWJW,96,9.64271047227926,2,0,0,4.3125,202.59144927536232,200.38311688311688,5.2309705882352935,0,0
0KMBK1IMSD6E,82,26.00958247775496,2,0,1,12.0,46.48322916666667,163.3940487804878,-0.6777573529411768,0,0
0KS1UVROSA1R,79,25.927446954141,3,0,1,5.125,186.00085365853658,1611.9972950819674,-60.249419117647065,1,0
0L75RVNCHJ16,38,7.8056125941136205,1,0,0,0.0,0.0,0.0,0.0,0,1
0LNQQYJZQLT5,54,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0LPHZOXDD829,79,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0LQDEEVD6ROO,51,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0LS2WFMJCN7E,89,28.22450376454483,4,0,1,4.9375,3389.128734177215,11118.227282608696,-15.829036764705876,0,0
0LT8ESHXRMDF,71,17.87542778918549,8,0,1,10.0625,680.5690062111802,29376.168823529413,2502.3924852941177,0,0
0M7Z53WZ3YUE,79,20.243668720054757,5,0,1,9.0625,201.87041379310344,215.70807228915663,0.25449264705882396,0,0
0MROJQWS51G6,75,14.45037645448323,1,0,0,0.0,0.0,0.0,0.0,0,0
0NFCWIUR4K2N,38,10.524298425735797,1,0,0,18.75,114.20546666666667,-288.8296296296296,45.88099999999999,0,0
0NFMTSK35SYM,70,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,0
0NI2D7OXVN76,51,13.22381930184805,3,0,0,1.5,1.0966666666666667,3.8205454545454542,-2.6388676470588233,0,0
0NK343QSPY8C,90,27.096509240246405,2,0,0,3.5,128.57535714285714,143.36548672566371,-0.5744485294117645,0,0
0NKFCAK77QV1,65,6.30527036276523,1,0,0,5.8,13.897241379310344,0.0,0.0,0,0
0NLC9BWCZYYW,77,17.078713210130047,5,0,0,20.0625,42.55694704049844,220.24277251184833,13.17803676470588,0,0
0NNCBUCF1YWP,76,19.42505133470226,1,0,0,0.0,0.0,0.0,0.0,0,1
0NOMV3LPXN6J,54,27.274469541409992,2,0,0,1.0,1570.0,1.52,0.0,0,1
0NOQAKY4OT7O,59,24.279260780287473,1,0,0,1.1875,426.3157894736842,0.0,0.0,0,0
0NQGTT64QB8G,41,2.428473648186174,1,0,0,0.0,0.0,0.0,0.0,0,1
