client_id,tenure_years,n_products,has_loan,receives_salary,avg_txn_per_month,avg_txn_amount,txn_trend,avg_balance,balance_trend,n_contacts,churned
SUDICT7EAVTI,1.5578370978781657,1,0,0,,,,,,,0
14U2AMBG2UY4,17.672826830937716,1,0,0,2.0,153.595,0.0,,,,0
1M02TAPE6JD8,2.1546885694729636,1,0,0,2.0,12256.69,0.0,4185.22875,-648.5444166666667,,1
9KQEISEIM3TW,4.37782340862423,1,0,0,,,,,,,0
WY8BP92CFHQ2,20.145106091718002,1,0,0,3.0,195.55625,-0.21428571428571427,11297.103111111112,135.02369047619035,,0
59D7K3ULHIC7,15.89596167008898,2,0,0,2.0,1676.36,0.0,1466.84125,-179.56821428571428,1.0,0
N0F0G5X8TPZE,13.453798767967145,1,0,0,,,,,,,0
XO8I8QEQYQTL,15.006160164271048,2,0,0,,,,,,,0
2ZDWK1ZS73UY,10.365503080082135,3,0,1,18.88888888888889,76.10158823529412,1.1333333333333333,1804.4824074074077,-401.358,1.0,0
6X9VSXJJKFQC,15.854893908282,1,0,0,,,,,,,0
DE0N0HBNBW90,27.238877481177276,13,1,1,123.0,29.599620596205963,2.566666666666667,-998.6342718446602,21.60391666666666,5.0,0
ZV2COXM3D995,19.67693360711841,1,0,0,,,,,,,0
KXV9S8HUPUC4,27.50444900752909,1,0,0,2.7777777777777777,9.2696,0.3,,,1.0,0
I770LJNUU7FK,26.083504449007528,9,0,1,3.2222222222222223,29.27655172413793,-0.11666666666666667,103.26412698412699,11.926666666666668,,0
O1JECEXXDPGI,19.67693360711841,1,0,0,,,,,,,0
4HXQOO85V1UP,19.67693360711841,1,0,0,2.2222222222222223,292.0,0.0,,,,0
PYCH2XKUPYYG,26.417522245037645,5,0,1,3.888888888888889,145.65542857142856,0.13333333333333333,1306.19765625,88.81141666666667,,0
L394XCBSNZXA,13.322381930184806,11,1,1,18.77777777777778,94.75698224852071,-1.3,-301.937049689441,1.838166666666667,,0
HN05FZ67Q3SG,19.67693360711841,2,0,0,13.11111111111111,62.97906779661017,-0.4666666666666667,,,,0
